AAAAMMJJHH;Pluie
2015092522;0.0
2015092523;0.0
2015092600;0.0
2015092601;0.0
2015092602;0.0
2015092603;0.0
2015092604;0.0
2015092605;0.0
2015092606;0.0
2015092607;0.0
2015092608;0.0
2015092609;0.0
2015092610;0.0
2015092611;0.0
2015092612;0.0
2015092613;0.0
2015092614;0.0
2015092615;0.0
2015092616;0.0
2015092617;0.0
2015092618;0.0
2015092619;0.0
2015092620;0.0
2015092621;0.0
2015092622;0.0
2015092623;0.0
2015092700;0.0
2015092701;0.0
2015092702;0.0
2015092703;0.0
2015092704;0.0
2015092705;0.0
2015092706;0.0
2015092707;0.0
2015092708;0.0
2015092709;0.0
2015092710;0.0
2015092711;0.0
2015092712;0.0037037037037037034
2015092713;0.26222222222222225
2015092714;0.0
2015092715;0.0
2015092716;0.0
2015092717;0.0
2015092718;0.023703703703703706
2015092719;0.03185185185185185
2015092720;0.1674074074074074
2015092721;0.0
2015092722;0.0
2015092723;0.0
2015092800;0.0
2015092801;0.011851851851851853
2015092802;0.0
2015092803;0.0
2015092804;0.0
2015092805;0.0
2015092806;0.0044444444444444444
2015092807;0.0
2015092808;0.0
2015092809;0.0
2015092810;0.0
2015092811;0.0
2015092812;0.0
2015092813;0.0
2015092814;0.0
2015092815;0.01111111111111111
2015092816;0.0
2015092817;0.0
2015092818;0.0
2015092819;0.16814814814814816
2015092820;2.9429629629629632
2015092821;11.03037037037037
2015092822;7.054814814814814
2015092823;1.1614814814814816
2015092900;0.8896296296296295
2015092901;1.7185185185185188
2015092902;1.4081481481481481
2015092903;0.2674074074074074
2015092904;0.10666666666666666
2015092905;0.02
2015092906;0.0037037037037037034
2015092907;0.0
2015092908;0.0
2015092909;0.0
2015092910;0.0
2015092911;0.0
2015092912;0.0
2015092913;0.0
2015092914;0.0
2015092915;0.0
2015092916;0.0
2015092917;0.0
2015092918;0.0
2015092919;0.0
2015092920;0.0
2015092921;0.0
2015092922;0.0
2015092923;0.0
2015093000;0.0
2015093001;0.0
2015093002;0.0
2015093003;0.0
2015093004;0.0
2015093005;0.0
2015093006;0.0
2015093007;0.0
2015093008;0.0
2015093009;0.0
2015093010;0.0
2015093011;0.0
2015093012;0.0
2015093013;0.0
2015093014;0.0
2015093015;0.0
2015093016;0.0
2015093017;0.0
2015093018;0.0
2015093019;0.0
2015093020;0.0
2015093021;0.0
2015093022;0.0
2015093023;0.0
2015100100;0.0
2015100101;0.0
2015100102;0.0
2015100103;0.0
2015100104;0.0
2015100105;0.0
2015100106;0.0
2015100107;0.0
2015100108;0.0
2015100109;0.0
2015100110;0.0
2015100111;0.0
2015100112;0.0
2015100113;0.0
2015100114;0.0
2015100115;0.0
2015100116;0.0
2015100117;0.0
2015100118;0.0
2015100119;0.0
2015100120;0.0
2015100121;0.0
2015100122;0.0
2015100123;0.0
2015100200;0.0
2015100201;0.0
2015100202;0.0
2015100203;0.0
2015100204;0.007407407407407407
2015100205;0.5562962962962963
2015100206;1.8659259259259258
2015100207;1.6525925925925926
2015100208;0.8962962962962964
2015100209;0.6577777777777778
2015100210;0.6896296296296296
2015100211;1.491851851851852
2015100212;2.5
2015100213;4.363703703703704
2015100214;2.6955555555555555
2015100215;0.8325925925925926
2015100216;0.10888888888888888
2015100217;0.0
2015100218;0.0
2015100219;0.034074074074074076
2015100220;0.0
2015100221;0.0
2015100222;0.0
2015100223;0.0
2015100300;0.0
2015100301;0.0
2015100302;0.0
2015100303;0.0
2015100304;0.1548148148148148
2015100305;0.0007407407407407408
2015100306;0.0
2015100307;0.0
2015100308;0.0
2015100309;0.027407407407407408
2015100310;0.4311111111111111
2015100311;5.636296296296296
2015100312;5.933333333333334
2015100313;7.151111111111111
2015100314;2.2
2015100315;3.22
2015100316;2.571111111111111
2015100317;9.254074074074074
2015100318;28.34148148148148
2015100319;2.0992592592592594
2015100320;0.8962962962962964
2015100321;0.0
2015100322;0.0
2015100323;0.0
2015100400;0.0
2015100401;0.0
2015100402;0.0
2015100403;0.0
2015100404;0.0
2015100405;0.0
2015100406;0.0007407407407407408
2015100407;0.0
2015100408;0.0
2015100409;0.0
2015100410;0.0
2015100411;0.0
2015100412;0.0
2015100413;0.0
2015100414;0.0
2015100415;0.0
2015100416;0.0
2015100417;0.0
2015100418;0.007407407407407407
2015100419;0.0
2015100420;0.0
2015100421;0.0
2015100422;0.0014814814814814816
2015100423;0.0
2015100500;0.0
2015100501;0.0
2015100502;0.0
2015100503;0.0
2015100504;0.0
2015100505;0.0
2015100506;0.0
2015100507;0.0
2015100508;0.0
2015100509;0.0
2015100510;0.0
2015100511;0.0
2015100512;0.0
2015100513;0.0
2015100514;0.0
2015100515;0.0
2015100516;0.0
2015100517;0.0
2015100518;0.0
2015100519;0.0
2015100520;0.0
2015100521;0.0
2015100522;0.0
2015100523;0.0
2015100600;0.0
2015100601;0.0
2015100602;0.0
2015100603;0.0
2015100604;0.0
2015100605;0.0
2015100606;0.0
2015100607;0.0
2015100608;0.0
2015100609;0.0
2015100610;0.0
2015100611;0.0
2015100612;0.0
2015100613;0.0
2015100614;0.0
2015100615;0.03111111111111111
2015100616;0.012592592592592591
2015100617;0.0
2015100618;0.0
2015100619;0.0
2015100620;0.0
2015100621;3.517037037037037
2015100622;2.582962962962963
2015100623;0.0
2015100700;0.0
2015100701;0.0
2015100702;0.0
2015100703;0.0007407407407407408
2015100704;0.0
2015100705;0.0
2015100706;0.0
2015100707;0.0
2015100708;0.0
2015100709;0.0
2015100710;0.0
2015100711;0.0
2015100712;0.0
2015100713;0.0
2015100714;0.0
2015100715;0.0
2015100716;0.0
2015100717;0.0
2015100718;0.0
2015100719;0.0
2015100720;0.0
2015100721;0.0
2015100722;0.0
2015100723;0.0
2015100800;0.0
2015100801;0.0
2015100802;0.0
2015100803;0.0
2015100804;0.0
2015100805;0.0
2015100806;0.0
2015100807;0.0
2015100808;0.0
2015100809;0.0
2015100810;0.0
2015100811;0.0
2015100812;0.0
2015100813;0.0
2015100814;0.0
2015100815;0.0
2015100816;0.0
2015100817;0.0
2015100818;0.0
2015100819;0.0
2015100820;0.0
2015100821;0.0
2015100822;0.0
2015100823;0.0
2015100900;0.0
2015100901;0.0
2015100902;0.0
2015100903;0.0
2015100904;0.0
2015100905;0.0
2015100906;0.0
2015100907;0.0
2015100908;0.0
2015100909;0.0
2015100910;0.0
2015100911;0.0
2015100912;0.0
2015100913;0.0
2015100914;0.0
2015100915;0.0
2015100916;0.0
2015100917;0.0
2015100918;0.3148148148148148
2015100919;0.0014814814814814816
2015100920;0.0
2015100921;0.0
2015100922;0.0
2015100923;0.005185185185185185
2015101000;0.0
2015101001;0.00814814814814815
2015101002;0.0
2015101003;0.0
2015101004;0.0
2015101005;0.0
2015101006;0.0
2015101007;0.0
2015101008;0.0
2015101009;0.0
2015101010;0.0
2015101011;0.0
2015101012;0.0
2015101013;0.0
2015101014;0.0
2015101015;0.0
2015101016;0.0
2015101017;0.0
2015101018;0.0
2015101019;0.0
2015101020;0.0
2015101021;0.0
2015101022;0.0
2015101023;0.0
2015101100;0.0
2015101101;0.0
2015101102;0.005185185185185185
2015101103;0.0014814814814814816
2015101104;0.0014814814814814816
2015101105;0.0059259259259259265
2015101106;0.0
2015101107;0.0
2015101108;0.0
2015101109;0.0
2015101110;0.0
2015101111;0.0
2015101112;0.0
2015101113;0.0
2015101114;0.0
2015101115;0.0
2015101116;0.0
2015101117;0.0
2015101118;0.0
2015101119;0.0
2015101120;0.0
2015101121;0.0
2015101122;0.0
2015101123;0.0
2015101200;0.0
2015101201;0.0
2015101202;0.0
2015101203;0.0
2015101204;0.0
2015101205;0.0
2015101206;0.0
2015101207;0.0
2015101208;0.014814814814814814
2015101209;2.6985185185185183
2015101210;5.163703703703704
2015101211;1.4770370370370371
2015101212;0.48
2015101213;1.8199999999999998
2015101214;1.8333333333333333
2015101215;0.5044444444444445
2015101216;1.2822222222222224
2015101217;1.5548148148148146
2015101218;0.21407407407407408
2015101219;0.09333333333333334
2015101220;0.42370370370370375
2015101221;1.7637037037037036
2015101222;0.13925925925925925
2015101223;0.22148148148148147
2015101300;0.07185185185185186
2015101301;0.0674074074074074
2015101302;4.588148148148148
2015101303;7.199259259259259
2015101304;2.142962962962963
2015101305;0.0325925925925926
2015101306;0.0007407407407407408
2015101307;0.0
2015101308;0.0
2015101309;0.0
2015101310;0.0
2015101311;0.0
2015101312;0.0
2015101313;0.0
2015101314;0.017777777777777778
2015101315;0.0007407407407407408
2015101316;0.0
2015101317;0.0
2015101318;0.0
2015101319;0.0
2015101320;0.0
2015101321;0.0
2015101322;0.0
2015101323;0.0
2015101400;0.0029629629629629632
2015101401;0.0014814814814814816
2015101402;0.0
2015101403;0.0
2015101404;0.0
2015101405;0.0
2015101406;0.0
2015101407;0.0
2015101408;0.0
2015101409;0.0
2015101410;0.0
2015101411;0.0
2015101412;0.0
2015101413;0.0
2015101414;0.0
2015101415;0.0
2015101416;0.0
2015101417;0.0
2015101418;0.0
2015101419;0.0
2015101420;0.0
2015101421;0.0
2015101422;0.0
2015101423;0.0
2015101500;0.0
2015101501;0.0
2015101502;0.0
2015101503;0.0
2015101504;0.0
2015101505;0.0
2015101506;0.0
2015101507;0.0
2015101508;0.0
2015101509;0.0
2015101510;0.0
2015101511;0.0
2015101512;0.0
2015101513;0.0
2015101514;0.0
2015101515;0.0
2015101516;0.0
2015101517;0.0
2015101518;0.0
2015101519;0.0
2015101520;0.0
2015101521;0.0
2015101522;0.0
2015101523;0.0
2015101600;0.0
2015101601;0.0
2015101602;0.0
2015101603;0.0
2015101604;0.0
2015101605;0.0
2015101606;0.0
2015101607;0.0
2015101608;0.0
2015101609;0.0
2015101610;0.0
2015101611;0.0
2015101612;0.0
2015101613;0.0
2015101614;0.0
2015101615;0.0
2015101616;0.0
2015101617;0.0
2015101618;0.0
2015101619;0.0
2015101620;0.0
2015101621;0.0
2015101622;0.0
2015101623;0.0
2015101700;0.0
2015101701;0.0
2015101702;0.0
2015101703;0.0
2015101704;0.0
2015101705;0.0
2015101706;0.0
2015101707;0.0
2015101708;0.0
2015101709;0.0
2015101710;0.0
2015101711;0.0
2015101712;0.0
2015101713;0.0
2015101714;0.0
2015101715;0.0
2015101716;0.0
2015101717;0.0
2015101718;0.0
2015101719;0.0
2015101720;0.0
2015101721;0.0
2015101722;0.0
2015101723;0.0
2015101800;0.0
2015101801;0.0
2015101802;0.022962962962962963
2015101803;0.05185185185185185
2015101804;0.006666666666666666
2015101805;0.0014814814814814816
2015101806;0.0022222222222222222
2015101807;0.021481481481481483
2015101808;0.0014814814814814816
2015101809;0.02814814814814815
2015101810;0.8637037037037038
2015101811;0.7651851851851852
2015101812;2.261481481481481
2015101813;3.17037037037037
2015101814;3.1422222222222222
2015101815;1.779259259259259
2015101816;1.2948148148148149
2015101817;0.5822222222222222
2015101818;0.7881481481481482
2015101819;0.26814814814814814
2015101820;0.0007407407407407408
2015101821;0.05703703703703704
2015101822;0.021481481481481483
2015101823;0.052592592592592594
2015101900;0.0162962962962963
2015101901;0.0
2015101902;0.0007407407407407408
2015101903;0.04962962962962963
2015101904;0.0
2015101905;0.0022222222222222222
2015101906;0.0
2015101907;0.0
2015101908;0.0
2015101909;0.0
2015101910;0.0
2015101911;0.0
2015101912;0.0
2015101913;0.0
2015101914;0.0
2015101915;0.0
2015101916;0.0
2015101917;0.0
2015101918;0.008888888888888889
2015101919;0.0029629629629629632
2015101920;0.012592592592592591
2015101921;0.0014814814814814816
2015101922;0.0
2015101923;0.0
2015102000;0.0037037037037037034
2015102001;0.0
2015102002;0.0
2015102003;0.0
2015102004;0.0029629629629629632
2015102005;0.0
2015102006;0.0
2015102007;0.0022222222222222222
2015102008;0.0
2015102009;0.0
2015102010;0.0
2015102011;0.0
2015102012;0.0
2015102013;0.0
2015102014;0.0
2015102015;0.0
2015102016;0.0
2015102017;0.0
2015102018;0.0
2015102019;0.0
2015102020;0.01037037037037037
2015102021;0.0
2015102022;0.0
2015102023;0.0
2015102100;0.0
2015102101;0.0
2015102102;0.0
2015102103;0.0
2015102104;0.0
2015102105;0.0
2015102106;0.0
2015102107;0.0
2015102108;0.0
2015102109;0.0
2015102110;0.0
2015102111;0.0
2015102112;0.0
2015102113;0.0
2015102114;0.0
2015102115;0.0
2015102116;0.0
2015102117;0.0
2015102118;0.0
2015102119;0.0
2015102120;0.0
2015102121;0.0
2015102122;0.0
2015102123;0.0
2015102200;0.0
2015102201;0.0
2015102202;0.0
2015102203;0.0
2015102204;0.0
2015102205;0.0
2015102206;0.0
2015102207;0.0
2015102208;0.0
2015102209;0.0
2015102210;0.0
2015102211;0.0
2015102212;0.0
2015102213;0.0
2015102214;0.0
2015102215;0.0
2015102216;0.0
2015102217;0.0
2015102218;0.0
2015102219;0.0
2015102220;0.0
2015102221;0.0
2015102222;0.0
2015102223;0.0
2015102300;0.0
2015102301;0.0
2015102302;0.0
2015102303;0.0
2015102304;0.0
2015102305;0.0
2015102306;0.0
2015102307;0.0
2015102308;0.0
2015102309;0.0
2015102310;0.0
2015102311;0.0
2015102312;0.0
2015102313;0.0
2015102314;0.0
2015102315;0.0
2015102316;0.0
2015102317;0.0
2015102318;0.0
2015102319;0.0
2015102320;0.0
2015102321;0.0
2015102322;0.0
2015102323;0.0007407407407407408
2015102400;0.0
2015102401;0.0
2015102402;0.0
2015102403;0.0
2015102404;0.0
2015102405;0.0
2015102406;0.0
2015102407;0.0
2015102408;0.0
2015102409;0.0
2015102410;0.0
2015102411;0.0
2015102412;0.0
2015102413;0.0
2015102414;0.0
2015102415;0.0
2015102416;0.0
2015102417;0.0
2015102418;0.0
2015102419;0.0
2015102420;0.0
